,party_mentioned,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,network_polarization,net_polarization2,network_homophily,network_homophily2,network_polarity,satisfaction,activity,user_preference
3129,6,-0.734473,100,86,2,12,74,0.489369,0.4202494951640506,0.0032537243180355995,0.0992602972685307,-0.036651,-12.95504970741509,0.4959220135922329,0.33830474231331276
3130,6,0.680278,100,83,2,7,76,0.4896,0.4204710090010364,0.0022712329002744923,0.09760537933791241,-0.036732,-12.948106921169137,0.49251412233009695,0.33927561609972057
3131,6,0.626028,100,83,2,7,76,0.489835,0.4206925228380223,0.0022712329002744923,0.09760537933791241,-0.036813,-12.941717797591217,0.4893721970873786,0.3402464898861283
3132,6,1.0,100,83,2,7,76,0.490002,0.4208475384479529,0.0022712329002744923,0.09760537933791241,-0.03696,-12.93151198569801,0.4868959912621359,0.3412173636725361
3133,6,-0.894393,100,83,2,8,75,0.489832,0.4207033151454489,0.0022712329002744923,0.09760537933791241,-0.036802,-12.94620848646662,0.48912878932038834,0.3397610529929244
3134,6,-0.164215,100,83,2,7,76,0.489597,0.420481801308463,0.0022712329002744923,0.09760537933791241,-0.036722,-12.947884429829204,0.49352527184466005,0.33887902140218507
3135,6,0.431212,100,83,2,7,76,0.489832,0.4207033151454489,0.0022712329002744923,0.09760537933791241,-0.036802,-12.943483566081383,0.4899714961165048,0.33984989518859277
3136,6,0.469542,100,83,2,7,76,0.49007,0.4209248289824347,0.0022712329002744923,0.09760537933791241,-0.036883,-12.93869150415395,0.4868308213592232,0.34082076897500063
3137,6,-0.435066,100,83,2,7,76,0.489832,0.4207033151454489,0.0022712329002744923,0.09760537933791241,-0.036802,-12.943131708529107,0.4899505786407766,0.33984989518859277
3138,6,0.488901,100,83,2,7,76,0.49007,0.4209248289824347,0.0022712329002744923,0.09760537933791241,-0.036883,-12.938142076829454,0.48680813203883483,0.34082076897500063
3139,6,0.52297,100,83,2,7,76,0.490222,0.42106457596684194,0.0022712329002744923,0.09760537933791241,-0.037045,-12.932804741280536,0.4845096961165049,0.34179164276140833
3140,6,0.505987,100,83,2,7,76,0.490549,0.42144962350898507,0.0044048008460219005,0.09850687990771623,-0.036964,-12.939784920352812,0.48250362427184457,0.3414893987484634
3141,6,0.515397,100,83,2,7,76,0.490883,0.42183467105112826,0.0044048008460219005,0.09850687990771623,-0.036883,-12.946894913880321,0.4807612815533978,0.34118153369991966
3142,6,0.441762,100,83,2,7,76,0.491224,0.4222197185932714,0.0030161609401875068,0.09850687990771623,-0.036802,-12.952989099479025,0.4794691475728154,0.34091765344102004
3143,6,0.678384,100,83,2,7,76,0.491571,0.42260476613541453,0.0030161609401875068,0.09850687990771623,-0.036722,-12.962347517008693,0.47899774174757276,0.34051243111092294
3144,6,0.438502,100,83,2,7,76,0.49192,0.42298601202955033,0.0030161609401875068,0.09850687990771623,-0.036636,-12.96839673173361,0.4775987514563107,0.3402504981012142
3145,6,0.418019,100,83,2,7,76,0.492191,0.4233011860794899,0.0030161609401875068,0.09850687990771623,-0.036474,-12.974163378605242,0.47626580291262116,0.34003882803648927
3146,6,0.113435,100,83,2,7,76,0.492467,0.4236163601294295,0.0007403599535346722,0.09850687990771623,-0.036313,-12.975728230600925,0.4744015174757279,0.3401933522543965
